Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2017-08-23,1 game,Adam Jones,CB,Cincinnati Bengals,"Violation of the league's personal conduct policy, stemming from a guilty obstruction charge"
2017-08-22,4 games,Max Tuerk,C,Los Angeles Chargers,Violating the substance policies
2017-08-11,6 games,Ezekiel Elliott,RB,Dallas Cowboys,"Violation of the league's personal conduct policy, stemming from a domestic violence case"
2017-08-06,10 games,Jalen Collins,CB,Atlanta Falcons,Violating the substance policies
2017-07-28,2 games,Damontre Moore,DE,Dallas Cowboys,Violating the substance policies
2017-07-19,1 game,Geronimo Allison,WR,Green Bay Packers,Violating the substance policies
2017-07-18,4 games,Armonty Bryant,DE,Detroit Lions,Violating the substance policies
2017-07-14,4 games,Michael Floyd,WR,Minnesota Vikings,Violating the substance policies
2017-07-14,4 games,Mike Thomas,WR,Los Angeles Rams,Violating the substance policies
2017-06-30,Entire 2017 season,Darren Waller,TE,Baltimore Ravens,Violating the substance policies
2017-06-28,4 games,David Irving,DE,Dallas Cowboys,Violating the substance policies
2017-06-22,Entire 2017 season,Justin Gilbert,CB,Free agent,Violating the substance policies
2017-06-20,6 games,Khyri Thornton,DT,Detroit Lions,Violating the substance policies
2017-06-08,4 games,Walter Powell,WR,Buffalo Bills,Violating the substance policies
2017-06-01,4 games,James Ihedigbo,SS,Free agent,Violating the substance policies
2017-05-25,4 games,Justin Gilbert,CB,Free agent,Violating the substance policies
2017-05-04,4 games,Max Bullough,LB,Houston Texans,Violating the substance policies
2017-05-01,2 games,Troy Hill,CB,Los Angeles Rams,Violating the substance policies
2017-04-21,4 games,Shaquelle Evans,WR,Dallas Cowboys,Violating the substance policies
2017-04-20,4 games,Brandon Bostick,TE,Free agent,Violating the substance policies
2017-04-14,4 games,Nick Marshall,CB,New York Jets,Violating the substance policies
2017-04-14,4 games,Trent Murphy,OLB,Washington Redskins,Violating the substance policies
2017-03-29,8 games,T. J. McDonald,SS,Free agent,Violating the substance policies
2017-03-15,4 games,Austin Seferian-Jenkins,TE,New York Jets,Violating the substance policies
2017-03-09,4 games,Kenneth Dixon,RB,Baltimore Ravens,Violating the substance policies
2017-03-07,4 games,Letroy Guion,DT,Green Bay Packers,Violating the substance policies
2017-03-07,4 games,Jalin Marshall,WR,New York Jets,Violating the substance policies
2017-01-24,4 games,J'Marcus Webb,OT,Free agent,Violating the substance policies
2017-01-05,Entire 2017 season,Randy Gregory,DE,Dallas Cowboys,Violating the substance policies
2016-12-29,4 games,Doug Martin,RB,Tampa Bay Buccaneers,Violating the substance policies
2016-12-15,2 games,Alvin Bailey,OG,Cleveland Browns,Violating the substance policies
2016-12-12,4 games,Tenny Palepoi,DE,San Diego Chargers,Violating the substance policies
2016-12-09,4 games,Jordan Payton,WR,Cleveland Browns,Violating the substance policies
2016-12-09,4 games,Kenny Vaccaro,SS,New Orleans Saints,Violating the substance policies
2016-12-06,4 games,D'Qwell Jackson,LB,Indianapolis Colts,Violating the substance policies
2016-12-06,4 games,Mike Pennel,DT,Green Bay Packers,Violating the substance policies
2016-12-02,Indefinite,Rolando McClain,LB,Dallas Cowboys,Violating the substance policies
2016-11-30,Indefinite,Sammie Lee Hill,DT,Free agent,Violating the substance policies
2016-11-29,10 games,Seantrel Henderson,OT,Buffalo Bills,Violating the substance policies
2016-11-23,10 games,Karlos Williams,RB,Pittsburgh Steelers,Violating the substance policies
2016-11-22,4 games,Jude Adjei-Barimah,CB,Tampa Bay Buccaneers,Violating the substance policies
2016-11-21,4 games,Jerrell Freeman,LB,Chicago Bears,Violating the substance policies
2016-11-21,2 games,Jason Jones,DE,Miami Dolphins,Violating the substance policies
2016-11-21,32 games,Jerrell Freeman,LB,Free agent,Violating the substance policies
2016-11-20,16 games,Rolando McClain,LB,Dallas Cowboys,Violating the substance policies
2016-11-14,4 games,Alshon Jeffery,WR,Chicago Bears,Violating the substance policies
2016-11-01,4 games,Trent Williams,OT,Washington Redskins,Violating the substance policies
