Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2013-08-14,4 games,Jo-Lonn Dunbar,LB,St. Louis Rams,Violating the substance policies
2013-08-02,8 games,Asa Jackson,CB,Baltimore Ravens,Violating the substance policies
2013-08-01,4 games,DeMarcus Love,OT,Minnesota Vikings,Violating the substance policies
2013-07-27,4 games,Andre Holmes,WR,Oakland Raiders,Violating the substance policies
2013-07-26,4 games,Jarvis Jenkins,DE,Washington Redskins,Violating the substance policies
2013-07-20,4 games,Will Hill,FS,New York Giants,Violating the substance policies
2013-07-19,4 games,Bert Reed,WR,Free agent,Violating the substance policies
2013-07-18,8 games,Weslye Saunders,TE,Indianapolis Colts,Violating the substance policies
2013-06-24,4 games,Brandon Collins,WR,New York Giants,Violating the substance policies
2013-06-24,4 games,LaVon Brazill,WR,Indianapolis Colts,Violating the substance policies
2013-06-07,2 games,Josh Gordon,WR,Cleveland Browns,Violating the substance policies
2013-06-04,4 games,Gabe Miller,TE,Chicago Bears,Violating the substance policies
2013-05-31,1 game,Isaiah Pead,RB,St. Louis Rams,Violating the substance policies
2013-05-22,1 game,Rokevious Watkins,OG,St. Louis Rams,Violating the substance policies
2013-05-17,4 games,Bruce Irvin,DE,Seattle Seahawks,Violating the substance policies
2013-04-20,4 games,Justin Blackmon,WR,Jacksonville Jaguars,Violating the substance policies
2013-04-19,4 games,James Sanders,S,Free agent,Violating the substance policies
2013-04-17,4 games,Larry Grant,LB,Free agent,Violating the substance policies
2013-04-01,4 games,Christian Thompson,S,Free agent,Violating the substance policies
2013-04-01,4 games,Daryl Washington,LB,Arizona Cardinals,Violating the substance policies
2013-03-20,4 games,Rob Jackson,LB,Washington Redskins,Violating the substance policies
2013-03-14,4 games,Deuce Lutui,OG,Free agent,Violating the substance policies
2013-02-13,4 games,Javarris James,RB,Arizona Cardinals,Violating the substance policies
2012-12-18,4 games,Quentin Saulsberry,OG,Denver Broncos,Violating the substance policies
2012-12-17,4 games,Jordan Black,OT,Washington Redskins,Violating the substance policies
2012-12-11,1 game,Rashard Mendenhall,RB,Pittsburgh Steelers,Conduct detrimental to the team
2012-12-11,4 games,Asa Jackson,CB,Baltimore Ravens,Violating the substance policies
2012-12-10,3 games,Brandon Jacobs,RB,San Francisco 49ers,Violation of the team's social media policy
2012-12-05,4 games,Brandon Browner,CB,Seattle Seahawks,Violating the substance policies
2012-12-04,4 games,Cedric Griffin,CB,Washington Redskins,Violating the substance policies
2012-11-26,4 games,Jermaine Cunningham,DE,New England Patriots,Violating the substance policies
2012-11-24,2 games,Jabar Gaffney,WR,Free agent,Failure to report an arrest from 2010 to the league
2012-11-20,4 games,Winston Guy,SS,Seattle Seahawks,Violating the substance policies
2012-11-19,4 games,Joe Hawley,C,Atlanta Falcons,Violating the substance policies
2012-11-09,4 games,Brandon Bolden,RB,New England Patriots,Violating the substance policies
2012-10-28,4 games,Eric Wright,CB,Tampa Bay Buccaneers,Violating the substance policies
2012-10-27,4 games,Lee Ziemba,OT,Carolina Panthers,Violating the substance policies
2012-10-22,3 games,Donald Washington,CB,Free agent,Violation of league rules while with the Kansas City Chiefs
2012-10-16,2 games,Alameda Ta'amu,NT,Pittsburgh Steelers,Off-field arrest
2012-10-13,4 games,Aqib Talib,CB,Tampa Bay Buccaneers,Violating the substance policies
2012-10-08,4 games,Will Hill,FS,New York Giants,Violating the substance policies
2012-10-05,3 games,D. J. Williams,LB,Denver Broncos,Violating the substance policies
2012-09-25,1 game,Joe Mays,LB,Denver Broncos,Illegal hit on Houston Texans quarterback Matt Schaub
2012-09-22,4 games,Gerell Robinson,WR,Arizona Cardinals,Violating the substance policies
2012-09-18,3 games,Clark Haggans,LB,San Francisco 49ers,Violating the substance policies
2012-09-10,4 games,Joe Haden,CB,Cleveland Browns,Violating the substance policies
2012-08-31,Indefinite (reinstated in May 2014),Tanard Jackson,FS,Washington Redskins,Violating the substance policies
2012-08-30,1 game,Kenny Britt,WR,Tennessee Titans,Various incidents involving police
2012-08-20,3 games,Aaron Berry,CB,Free agent,Two arrests during the 2012 offseason
2012-08-20,1 game,Tamba Hali,LB,Kansas City Chiefs,Violating the substance policies
2012-08-16,4 games,Garrett Brown,DT,San Diego Chargers,Violating the substance policies
2012-07-31,4 games,Tyler Sash,S,New York Giants,Violating the substance policies
2012-07-20,1 game,Nate Collins,DT,Chicago Bears,Violating the substance policies
2012-07-18,4 games,Andre Neblett,DT,Carolina Panthers,Violating the substance policies
2012-07-06,1 game,Lawrence Wilson,LB,New Orleans Saints,Violating the substance policies
2012-07-02,4 games,Brody Eldridge,TE,St. Louis Rams,Violating the substance policies
2012-07-01,4 games,Trevis Turner,OT,Free agent,Violating the substance policies
2012-06-13,4 games,Dontay Moch,LB,Cincinnati Bengals,Violating the substance policies
2012-06-13,2 games,Mikel Leshoure,RB,Detroit Lions,Violating the substance policies
2012-06-11,3 games,Jerome Simpson,WR,Minnesota Vikings,Violating the substance policies
2012-06-07,3 games,Ramon Humber,LB,Free agent,Violating the substance policies
2012-05-23,4 games,Allen Barbre,OT,Seattle Seahawks,Violating the substance policies
2012-05-02,Entire 2012 season (later overturned),Jonathan Vilma,LB,New Orleans Saints,Involvement in the New Orleans Saints bounty program
2012-05-02,8 games (later overturned),Anthony Hargrove,DE,Green Bay Packers,Involvement in the New Orleans Saints bounty program
2012-05-02,4 games (later overturned),Will Smith,DE,New Orleans Saints,Involvement in the New Orleans Saints bounty program
2012-05-02,3 games (later overturned),Scott Fujita,LB,Cleveland Browns,Involvement in the New Orleans Saints bounty program
2012-03-30,4 games (Later overturned),Andre Brown,RB,Free agent,Violating the substance policies
2012-03-13,4 games,Mike Neal,DE,Green Bay Packers,Violating the substance policies
2012-03-09,3 games,Brett Hartmann,P,Houston Texans,Violating the substance policies
2012-03-09,6 games,D. J. Williams,LB,Denver Broncos,Violating the substance policies
2012-03-09,6 games,Ryan McBean,DT,Denver Broncos,Violating the substance policies
2012-03-09,4 games,Virgil Green,TE,Denver Broncos,Violating the substance policies
2012-03-09,3 games,Dwayne Jarrett,WR,Free agent,Violating the substance policies
2012-02-15,4 games,Nick Miller,WR,St. Louis Rams,Violating the substance policies
2012-02-06,4 games,Weslye Saunders,TE,Indianapolis Colts,Violating the substance policies
2011-12-21,4 games,Austin Pettis,WR,St. Louis Rams,Violating the substance policies
2011-12-13,1 game,James Harrison,LB,Pittsburgh Steelers,Violent tackle on Cleveland Browns quarterback Colt McCoy
2011-12-06,4 games,Vai Taua,RB,Seattle Seahawks,Violating the substance policies
2011-12-06,4 games,John Moffitt,OG,Seattle Seahawks,Violating the substance policies
2011-12-04,4 games,Fred Davis,TE,Washington Redskins,Violating the substance policies
2011-12-04,4 games,Trent Williams,OT,Washington Redskins,Violating the substance policies
2011-11-29,2 games,Ndamukong Suh,DT,Detroit Lions,Stomping of Green Bay Packers lineman Evan Dietrich-Smith
2011-10-25,Entire 2011 season,Chris Cook,CB,Minnesota Vikings,Domestic assault charges
2011-10-12,4 games,Jimmy Kennedy,DT,New York Giants,Violating the substance policies
2011-10-05,4 games,Jaimie Thomas,OG,Indianapolis Colts,Violating the substance policies
2011-09-22,3 games,Cedric Benson,HB,Cincinnati Bengals,Misdemeanor assault
2011-09-22,2 games,Brandon Underwood,CB,Free agent,Violation of the league's personal conduct policy
2011-09-09,1 game,David Reed,WR,Baltimore Ravens,Violating the substance policies
2011-09-03,4 games,Bobbie Williams,OG,Cincinnati Bengals,Violating the substance policies
2011-09-03,4 games,Ahmard Hall,FB,Tennessee Titans,Violating the substance policies
2011-09-02,2 games,Kevin Williams,DT,Minnesota Vikings,Violating the substance policies
2011-09-02,2 games,Pat Williams,DT,Free agent,Violating the substance policies
2011-09-02,2 games,Will Smith,DE,New Orleans Saints,Violating the substance policies
2011-09-02,2 games,Charles Grant,DE,Free agent,Violating the substance policies
2011-09-02,4 games,Eric Alexander,LB,Free agent,Violating the substance policies
2011-09-02,4 games,Eric Barton,LB,Free agent,Violating the substance policies
2011-09-02,4 games,Robert Brewster,OT,Free agent,Violating the substance policies
2011-09-02,4 games,Vinny Ciurciu,LB,Free agent,Violating the substance policies
2011-09-02,1 game,Harry Coleman,LB,Free agent,Violating the substance policies
2011-09-02,4 games,Brandon Lang,LB,Free agent,Violating the substance policies
2011-09-02,Entire 2011 season,Dominic Rhodes,RB,Free agent,Violating the substance policies
2011-08-18,5 games,Terrelle Pryor,QB,Oakland Raiders,Involvement in receiving improper benefits while at Ohio State
2011-08-02,4 games,Phillip Buchanon,CB,Washington Redskins,Violating the substance policies
2011-01-03,1 game,Brandon Deaderick,NT,New England Patriots,Violation of team rules
2010-12-10,4 games,Duke Robinson,OG,Carolina Panthers,Violating the substance policies
2010-12-10,4 games,Brandon Spikes,LB,New England Patriots,Violating the substance policies
2010-12-07,4 games,Albert Haynesworth,DT,Washington Redskins,Conduct detrimental to the team
2010-10-20,1 game,Pat McAfee,P,Indianapolis Colts,Conduct detrimental to the team
2010-10-15,4 games,Antwan Odom,DE,Cincinnati Bengals,Violating the substance policies
2010-10-04,4 games,Steve Gregory,SS,San Diego Chargers,Violating the substance policies
2010-09-27,1 game,Tony McDaniel,DT,Miami Dolphins,"Violation of the league's personal conduct policy, stemming from an arrest for battery"
2010-09-22,Indefinite (reinstated in Oct. 2011),Tanard Jackson,FS,Tampa Bay Buccaneers,Violating the substance policies
2010-09-21,4 games,Duane Brown,LT,Houston Texans,Violating the substance policies
2010-09-04,4 games,Shawn Nelson,TE,Buffalo Bills,Violating the substance policies
2010-09-01,1 game,Maurice Purify,WR,Cincinnati Bengals,Violation of the league's personal conduct policy
2010-08-31,1 game,Aqib Talib,CB,Tampa Bay Buccaneers,Violation of the league's personal conduct policy
2010-08-03,1 game,Jonathan Babineaux,DT,Atlanta Falcons,Violating the substance policies
2010-07-22,2 games,Cary Williams,CB,Baltimore Ravens,Violating the substance policies
2010-07-16,1 game,Leroy Hill,LB,Seattle Seahawks,Violating the substance policies
2010-07-16,Indefinite (reinstated in Feb. 2013),Johnny Jolly,DE,Green Bay Packers,Violating the substance policies
2010-07-08,4 games,Robert James,LB,Atlanta Falcons,Violating the substance policies
2010-07-01,3 games,Vincent Jackson,WR,San Diego Chargers,Violation of the league's personal conduct policy
2010-07-01,4 games,LenDale White,RB,Free agent,Violating the substance policies
2010-07-01,8 games,Hollis Thomas,DT,Free agent,Violating the substance policies
2010-06-21,4 games,Ed Gant,WR,Arizona Cardinals,Violating the substance policies
2010-06-14,4 games,Gerald McRath,LB,Tennessee Titans,Violating the substance policies
2010-06-03,1 game,Quinn Ojinnaka,OL,Atlanta Falcons,Violation of the league's personal conduct policy
2010-05-07,4 games,Brian Cushing,LB,Houston Texans,Violating the substance policies
2010-04-21,6 games (later reduced to 4 games),Ben Roethlisberger,QB,Pittsburgh Steelers,Violation of the league's personal conduct policy
2010-04-12,4 games,Santonio Holmes,WR,New York Jets,Violating the substance policies
2010-03-07,8 games,Ryan Tucker,RT,Free agent,Violating the substance policies
2010-03-07,8 games,Jason Ferguson,NT,Free agent,Violating the substance policies
2009-12-24,4 games,Luke Lawton,FB,Oakland Raiders,Violating the substance policies
2009-11-17,4 games,Dwayne Bowe,WR,Kansas City Chiefs,Violating the substance policies
2009-11-11,4 games,Joselio Hanson,CB,Philadelphia Eagles,Violating the substance policies
2009-10-29,1 game,Larry Johnson,RB,Kansas City Chiefs,"Conduct detrimental to the team, stemming from using gay slurs on Twitter"
2009-10-19,1 game,Dante Wesley,DT,Carolina Panthers,Launching himself against Tampa Bay Buccaneer punt returner Clifton Smith
2009-09-23,Until release from prison in 2011,Plaxico Burress,WR,Free agent,Aforementioned accidental shooting
2009-08-18,4 games,Tanard Jackson,FS,Tampa Bay Buccaneers,Violating the substance policies
2009-08-17,1 game,Shaun Ellis,DE,New York Jets,Violating the substance policies
2009-08-13,Entire 2009 season,Donté Stallworth,WR,Cleveland Browns,Crashed into and killed a pedestrian while DUI
2009-07-07,1 game,Michael Boley,LB,New York Giants,Violation of the league's personal conduct policy
2009-07-02,4 games,Calvin Pace,LB,New York Jets,Violating the substance policies
2009-04-09,3 games,Marshawn Lynch,RB,Buffalo Bills,Violation of the league's personal conduct policy
2008-12-08,4 games,Plaxico Burress,WR,New York Giants,Accidental shooting with a firearm
2008-11-18,1 game,Kellen Winslow II,TE,Cleveland Browns,Conduct detrimental to the team
2008-11-02,1 game,Larry Johnson,RB,Kansas City Chiefs,Violation of the league's personal conduct policy
2008-10-21,3 games,Matt Jones,WR,Jacksonville Jaguars,Violating the substance policies
2008-10-14,4 games,Adam Jones,CB,Dallas Cowboys,Involvement in an altercation with a bodyguard
2008-10-07,4 games,Darryl Blackstock,LB,Cincinnati Bengals,Violating the substance policies
2008-10-03,1 game,Tommie Harris,DT,Chicago Bears,Violation of team rules
2008-09-28,1 game,Eric Smith,DT,New York Jets,Helmet-to-helmet collision against Arizona Cardinals wide receiver Anquan Boldin
2008-08-31,Indefinite (reinstated in Aug. 2012),Travis Henry,RB,Free agent,Violating the substance policies
2008-08-31,4 games,Jonathan Clinkscale,OG,Free agent,Violating the substance policies
2008-08-31,4 games,Tony Gonzalez,WR,Free agent,Violating the substance policies
2008-08-31,4 games,Mario Haggan,LB,Free agent,Violating the substance policies
2008-08-31,4 games,Luke Petitgout,OT,Free agent,Violating the substance policies
2008-08-31,4 games,Dexter Reid,FS,Free agent,Violating the substance policies
2008-08-31,3 games,Darrion Scott,CB,Free agent,Violating the substance policies
2008-08-31,4 games,E. J. Underwood,DB,Free agent,Violating the substance policies
2008-08-31,5 games,Jimmy Williams,CB,Free agent,Violating the substance policies
2008-08-31,1 game,Cedrick Wilson,WR,Free agent,Violating the substance policies
2008-08-30,4 games,Bryant McKinnie,OT,Minnesota Vikings,Violation of the league's personal conduct policy
2008-08-30,4 games,Jesse Chatman,RB,New York Jets,Violating the substance policies
2008-08-19,4 games,Luke Petitgout,OT,Tampa Bay Buccaneers,Violating the substance policies
2008-08-05,3 games (later reduced to 1 game),Brandon Marshall,WR,Denver Broncos,"Violation of the league's personal conduct policy, stemming from various off the field incidents"
2008-08-02,2 games,Steve Smith,WR,Carolina Panthers,"Violation of the league's personal conduct policy, stemming from fighting teammate Ken Lucas during training camp"
2008-08-01,1 game,Fabian Washington,CB,Baltimore Ravens,Violation of the league's personal conduct policy
2008-07-14,3 games,Darrion Scott,DE,Free agent,"Violation of the league's personal conduct policy, stemming from child endangerment charges"
2008-06-12,4 games,Adrian Awasom,DE,Free agent,Violating the substance policies
2008-06-06,Indefinite,Odell Thurman,MLB,Free agent,Violating the substance policies
2008-04-15,4 games,Stephen Cooper,LB,San Diego Chargers,Violating the substance policies
2007-12-05,4 games,Ray Edwards,DE,Minnesota Vikings,Violating the substance policies
2007-11-06,4 games,Marcus Stroud,DT,Jacksonville Jaguars,Violating the substance policies
2007-11-05,2 games,Justin Durant,LB,Jacksonville Jaguars,"Violation of team rules, stemming from an arrest"
2007-11-05,2 games,Richard Collier,OT,Jacksonville Jaguars,"Violation of team rules, stemming from an arrest"
2007-11-03,4 games,Chris Henry,RB,Tennessee Titans,Violating the substance policies
2007-10-05,6 games,Tim Couch,QB,Free agent,Violating the substance policies
2007-10-05,6 games,Kenard Lang,DE,Free agent,Violating the substance policies
2007-09-02,4 games,Rodney Harrison,SS,New England Patriots,Violating the substance policies
2007-08-09,4 games,Obafemi Ayanbadejo,FB,Chicago Bears,Violating the substance policies
2007-08-03,4 games,Ryan Tucker,RT,Cleveland Browns,Violating the substance policies
2007-07-27,Indefinite (reinstated in July 2009),Michael Vick,QB,Atlanta Falcons,Involvement in the Bad Newz Kennels dog fighting scandal
2007-07-27,2 games,Jeremy Bridges,OG,Carolina Panthers,Misdemeanor assault charges
2007-07-20,4 games,Jarrod Cooper,SS,Oakland Raiders,Violating the substance policies
2007-07-18,2 games,Jared Allen,DE,Kansas City Chiefs,"Violation of the league's personal conduct policy, stemming from two DUI arrests"
2007-07-13,2 games,Sam Brandon,S,Denver Broncos,Violation of the league's personal conduct policy
2007-07-06,4 games,Kenny Peterson,DE,Denver Broncos,Violating the substance policies
2007-07-04,4 games,Dominic Rhodes,RB,Oakland Raiders,Violating the substance policies
2007-06-04,8 games,Tank Johnson,DT,Chicago Bears,Alleged possession of six firearms and violation of probation on other charges
2007-05-15,Entire 2007 season,Adam Jones,CB,Tennessee Titans,Attacking a stripper and threatening a security guard's life
2007-05-15,8 games,Chris Henry,WR,Cincinnati Bengals,Violation of the league's personal conduct policy
2006-12-05,4 games,Hollis Thomas,DT,New Orleans Saints,Violating the substance policies
2006-11-22,1 game,Ricky Manning,CB,Chicago Bears,"Violation of the league's personal conduct policy, stemming from a domestic violence incident"
2006-10-22,4 games,Shawne Merriman,LB,San Diego Chargers,Violating the substance policies
2006-10-17,4 games,Matt Lehr,OG,Atlanta Falcons,Violating the substance policies
2006-10-17,4 games,Shaun Rogers,DT,Detroit Lions,Violating the substance policies
2006-10-17,Entire 2006 season,Koren Robinson,WR,Green Bay Packers,Violating the substance policies
2006-10-06,2 games,Chris Henry,WR,Cincinnati Bengals,Alleged possessions of firearms
2006-10-02,5 games,Albert Haynesworth,DT,Tennessee Titans,Stomping on Dallas Cowboys center Andre Gurode
2006-09-25,Entire 2006 and 2007 seasons,Odell Thurman,MLB,Cincinnati Bengals,Violating the substance policies
2006-09-01,4 games,Sammy Morris,RB,Miami Dolphins,Violating the substance policies
2006-07-13,4 games,Odell Thurman,MLB,Cincinnati Bengals,Violating the substance policies
2006-07-07,4 games,Todd Sauerbrun,P,Denver Broncos,Violating the substance policies
2006-04-25,Entire 2006 season,Ricky Williams,RB,Miami Dolphins,Violating the substance policies
2005-12-15,1 game,Wayne Hunter,OL,Seattle Seahawks,Violation of the league's personal conduct policy
2005-10-03,4 games,Charles Rogers,WR,Detroit Lions,Violating the substance policies
2005-09-27,4 games,Travis Henry,RB,Tennessee Titans,Violating the substance policies
2005-09-16,4 games,Rick Razzano,FB,Tampa Bay Buccaneers,Violating the substance policies
2005-09-03,4 games,John Welbourn,OL,Kansas City Chiefs,Violating the substance policies
2005-08-31,Entire 2005 season,Kendyll Pope,LB,Indianapolis Colts,Violating the substance policies
2005-08-20,1 game,Brad Hopkins,OL,Tennessee Titans,"Violation of the league's personal conduct policy, stemming from a domestic violence incident"
2005-07-30,Entire 2005 season,Wendell Bryant,DT,Arizona Cardinals,Violating the substance policies
2005-07-12,4 games,Eric Warfield,CB,Kansas City Chiefs,Violating the substance policies
2005-06-15,2 games,Mike Doss,S,Indianapolis Colts,"Violation of the league's personal conduct policy, stemming from alleged possession of firearms"
2005-06-07,Entire 2005 season,Onterrio Smith,RB,Minnesota Vikings,Violating the substance policies
2004-12-06,4 games,David Boston,WR,Miami Dolphins,Violating the substance policies
2004-11-23,4 games,Koren Robinson,WR,Seattle Seahawks,Violating the substance policies
2004-11-09,4 games,Andrew Pinnock,FB,San Diego Chargers,Violating the substance policies
2004-10-18,1 game,Dwayne Carswell,TE,Denver Broncos,"Violation of the league's personal conduct policy, stemming from a domestic violence incident"
2004-10-09,2 games,Jamal Lewis,RB,Baltimore Ravens,Violating the substance policies
2004-10-04,4 games,Onterrio Smith,RB,Minnesota Vikings,Violating the substance policies
2004-09-06,1 game,Leonardo Carson,DT,Dallas Cowboys,"Violation of the league's personal conduct policy, stemming from being convicted of burglary and kidnapping"
2004-09-06,4 games,Adrian Madise,WR,Denver Broncos,Violating the substance policies
2004-09-06,4 games,Wendell Bryant,DT,Arizona Cardinals,Violating the substance policies
2004-07-26,Indefinite,Darrell Russell,DT,Free agent,Violating the substance policies
2004-06-22,3 games,Michael Pittman,RB,Tampa Bay Buccaneers,"Violation of the league's personal conduct policy, stemming from a domestic violence incident"
2003-12-03,4 games,Raynoch Thompson,LB,Arizona Cardinals,Violating the substance policies
2003-11-14,4 games,William Green,RB,Cleveland Browns,Violating the substance policies
2003-09-26,4 games,Scott Shanle,LB,St. Louis Rams,Violating the substance policies
2003-08-30,4 games,Keith Newman,LB,Atlanta Falcons,Violating the substance policies
2003-08-29,1 game,Derrick Rodgers,LB,New Orleans Saints,Violation of the league's personal conduct policy
2003-07-26,4 games,Lee Flowers,LB,Denver Broncos,Violating the substance policies
2003-07-11,4 games,Byron Chamberlain,TE,Minnesota Vikings,Violating the substance policies
2003-03-28,4 games,Mike Cloud,RB,Free agent,Violating the substance policies
2002-12-10,Entire 2003 season,Tyrone Robertson,DT,Buffalo Bills,Violating the substance policies
2002-12-04,4 games,Julius Peppers,DE,Carolina Panthers,Violating the substance policies
2002-11-21,1 game,Steve Smith,WR,Carolina Panthers,"Violation of the league's personal conduct policy, stemming from fighting teammate Anthony Bright during practice"
2002-11-18,4 games,DeMingo Graham,OG,Houston Texans,Violating the substance policies
2002-11-06,4 games,Lewis Bush,LB,Kansas City Chiefs,Violating the substance policies
2002-11-04,4 games,Brentson Buckner,DT,Carolina Panthers,Violating the substance policies
2002-10-24,1 game,Rodney Harrison,S,San Diego Chargers,Helmet-to-helmet collision on Oakland Raiders wide receiver Jerry Rice
2002-10-02,4 games,Tyrone Robertson,DT,Buffalo Bills,Violating the substance policies
2002-09-11,4 games,Ray Buchanan,CB,Atlanta Falcons,Violating the substance policies
2002-09-07,4 games,T. J. Slaughter,LB,Jacksonville Jaguars,Violating the substance policies
2002-09-01,4 games,Ron Warner,DE,Tampa Bay Buccaneers,Undisclosed
2002-07-20,Indefinite (reinstated in Nov. 2002),Dale Carter,CB,New Orleans Saints,Violating the substance policies
2002-05-24,Entire 2002 and 2003 seasons,Rashard Anderson,WR,Carolina Panthers,Violating the substance policies
2002-03-19,1 game,Victor Riley,LT,Free agent,Violation of the league's personal conduct policy
2002-01-10,Entire 2002 season,R. Jay Soward,WR,Jacksonville Jaguars,Violating the substance policies
2002-01-08,4 games,Daimon Shelton,FB,Chicago Bears,Violating the substance policies
2002-01-02,Entire 2002 season,Darrell Russell,DT,Oakland Raiders,Violating the substance policies
2001-12-17,4 games,Albert Connell,WR,New Orleans Saints,Conduct detrimental to the team
2001-12-15,4 games,Tommy Bennett,FS,Detroit Lions,Violating the substance policies
2001-12-11,4 games,R. Jay Soward,WR,Jacksonville Jaguars,Violating team rules
2001-11-28,4 games,Shawn Springs,CB,Seattle Seahawks,Violating the substance policies
2001-11-22,1 game,Gerard Warren,DT,Cleveland Browns,Conduct detrimental to the team
2001-11-22,1 game,Mike Sellers,FB,Cleveland Browns,Conduct detrimental to the team
2001-11-22,1 game,Lamar Chapman,CB,Cleveland Browns,Conduct detrimental to the team
2001-10-09,1 game,Leon Searcy,OT,Baltimore Ravens,Violation of the league's personal conduct policy
2001-10-05,4 games,Henry Taylor,DT,Chicago Bears,Violating the substance policies
2001-08-16,Entire 2001 season,Terry Glenn,WR,New England Patriots,"Violation of team rules, stemming from his failure to report to training camp"
2001-08-07,4 games,Darrell Russell,DT,Oakland Raiders,Violating the substance policies
2001-08-03,4 games,Terry Glenn,WR,New England Patriots,Violating the substance policies
2001-07-26,1 game,Michael Pittman,RB,Arizona Cardinals,Violation of the league's personal conduct policy
2001-06-08,Entire 2001 season,R. Jay Soward,WR,Jacksonville Jaguars,Violating the substance policies
2000-08-24,1 game,Mario Bates,RB,Arizona Cardinals,Violation of the league's anti-violence policy
2000-06-21,Entire 2000 season,Josh Evans,DT,Tennessee Titans,Violating the substance policies
2000-04-11,Indefinite (reinstated),Larry Webster,DT,Baltimore Ravens,Violating the substance policies
2000-04-11,Indefinite (reinstated in Nov. 2001),Dale Carter,CB,Denver Broncos,Violating the substance policies
1999-12-17,Indefinite,Rae Carruth,WR,Free agent,"Violation of the league's personal conduct policy, stemming from murder charge"
1999-12-02,4 games,Jim Miller,QB,Chicago Bears,Violating the substance policies
1999-11-26,4 games,Jason Ferguson,NT,New York Jets,Violating the substance policies
1999-11-24,4 games,Lyle West,FS,New York Giants,Violating the substance policies
1999-10-21,4 games,Travis Jervey,RB,San Francisco 49ers,Violating the substance policies
1999-09-15,8 games,Leon Lett,DT,Dallas Cowboys,Violating the substance policies
1999-07-16,8 games,Leonard Little,DE,St. Louis Rams,Violating the substance policies
1998-12-23,4 games,Jude Waddy,LB,Green Bay Packers,Violating the substance policies
1998-11-18,4 games,Bob Sapp,OG,Minnesota Vikings,Violating the substance policies
1998-11-17,1 game,Derrick Thomas,OLB,Kansas City Chiefs,"Unsportsmanlike conduct, stemming from multiple personal fouls in a loss against the Denver Broncos"
1998-09-01,4 games,Paul Wiggins,OT,Pittsburgh Steelers,Violating the substance policies
1997-09-13,4 games,Scott Davis,OG,Atlanta Falcons,Violating the substance policies
1997-08-28,4 games,Matt Stevens,FS,Philadelphia Eagles,Violating the substance policies
1997-08-19,4 games,Artie Ulmer,LB,Minnesota Vikings,Violating the substance policies
1996-12-04,16 games,Leon Lett,DT,Dallas Cowboys,Violating the substance policies
1996-11-03,4 games,Leon Lett,DT,Dallas Cowboys,Violating the substance policies
1996-11-03,4 games,Clayton Holmes,CB,Dallas Cowboys,Violating the substance policies
1996-09-23,Entire 1996 season,Jeff George,QB,Atlanta Falcons,"Violation of the league's personal conduct policy, stemming from an argument during a game with Falcons head coach June Jones"
1996-08-20,Entire 1996 season,Larry Webster,DT,Baltimore Ravens,Violating the substance policies
1996-07-25,5 games,Michael Irvin,WR,Dallas Cowboys,Violating the substance policies
1996-07-23,4 games,Roosevelt Potts,RB,Indianapolis Colts,Violating the substance policies
1995-12-04,Entire 1996 season,Carlton Haselrig,RB,New York Jets,Violating the substance policies
1995-10-23,4 games,Joel Steed,NT,Pittsburgh Steelers,Violating the substance policies
1995-10-23,Life,Bernard Williams,LT,Philadelphia Eagles,Violating the substance policies
1995-08-25,Entire 1995 season,Chuck Levy,WR,Arizona Cardinals,Violating the substance policies
1995-08-25,6 games,Tim Harris,DE,San Francisco 49ers,Violating the substance policies
1995-08-11,4 games,Jamir Miller,LB,Arizona Cardinals,Violating the substance policies
1995-08-11,6 games,Larry Webster,DT,Cleveland Browns,Violating the substance policies
1995-07-25,6 games,Bernard Williams,LT,Philadelphia Eagles,Violating the substance policies
1994-11-30,4 games,Frank Wycheck,FB,Washington Redskins,Violating the substance policies
1994-11-16,1 game,Andre Rison,WR,Atlanta Falcons,Showing up late to multiple team meetings
1993-07-31,4 games,Eric Moore,OG,New York Giants,Violating the substance policies
1992-11-09,6 games,Eric Green,TE,Pittsburgh Steelers,Violating the substance policies
1992-04-30,Entire 1992 season,Tim Worley,RB,Pittsburgh Steelers,Violating the substance policies
1991-11-15,4 games,Terry Long,OG,Pittsburgh Steelers,Violating the substance policies
1991-11-08,4 games,Eric Dickerson,RB,Indianapolis Colts,Conduct detrimental to the team
1991-10-31,6 games,Tim Worley,RB,Pittsburgh Steelers,Violating the substance policies
1990-09-20,Entire 1990 season,Terry Taylor,CB,Detroit Lions,Violating the substance policies
1990-08-30,6 games,Eric Dickerson,RB,Indianapolis Colts,Conduct detrimental to the team
1990-08-24,5 games,Brian Sochia,NT,Miami Dolphins,Violating the substance policies
1990-08-17,3 games,Carl Bax,OG,Tampa Bay Buccaneers,Violating the substance policies
1990-08-13,5 games,Louis Cheek,OL,Dallas Cowboys,Violating the substance policies
1990-08-13,5 games,John Brandom,OL,Phoenix Cardinals,Violating the substance policies
1990-04-13,Entire 1990 season,Frank Warren,DE,New Orleans Saints,Violating the substance policies
1989-11-17,Entire 1989 season,Dexter Manley,DE,Washington Redskins,Violating the substance policies
1989-11-06,4 games,Barry Wilburn,CB,Washington Redskins,Violating the substance policies
1989-09-02,4 games,Keith Browner,LB,San Diego Chargers,Violating the substance policies
1989-09-01,4 games,Kevin Mack,FB,Cleveland Browns,Violating the substance policies
1989-08-30,4 games,Vince Amoia,RB,New York Jets,Violating the substance policies
